dateHour,networkDomain,visitors,visits,bounces,timeOnSite,Date,Hour,Domain
2014010910,,491,1,1,1,2014-01-09,10,Actual
2014010911,,507,1,0.99,3,2014-01-09,11,Actual
2014010912,,541,1,0.97,16,2014-01-09,12,Actual
2014010913,,536,1,0.97,10,2014-01-09,13,Actual
2014010914,,580,1,1,0,2014-01-09,14,Actual
2014010915,,643,1,1,0,2014-01-09,15,Actual
2014010916,,722,1,1,0,2014-01-09,16,Actual
2014010917,,794,1,0.98,14,2014-01-09,17,Actual
2014010918,,742,1,0.98,11,2014-01-09,18,Actual
2014010919,,688,1,0.99,5,2014-01-09,19,Actual
2014010920,,781,1,0.85,118,2014-01-09,20,Actual
2014010921,,691,1,0.86,93,2014-01-09,21,Actual
2014010922,,530,1,0.9,52,2014-01-09,22,Actual
2014010923,,371,1,0.98,7,2014-01-09,23,Actual
2014011000,,188,1,0.98,0,2014-01-10,00,Actual
2014011001,,146,1,1,0,2014-01-10,01,Actual
2014011002,,78,1,0.99,0,2014-01-10,02,Actual
2014011003,,37,1,0.97,1,2014-01-10,03,Actual
2014011004,,22,1,1,0,2014-01-10,04,Actual
2014011005,,27,1,0.96,1,2014-01-10,05,Actual
2014011006,,45,1,1,0,2014-01-10,06,Actual
2014011007,,82,1,1,0,2014-01-10,07,Actual
2014011008,,227,1,1,1,2014-01-10,08,Actual
2014011009,,362,1,1,0,2014-01-10,09,Actual
2014011010,,465,1,0.99,3,2014-01-10,10,Actual
2014011011,,544,1,0.99,5,2014-01-10,11,Actual
2014011012,,554,1,0.97,13,2014-01-10,12,Actual
2014011013,,580,1,0.99,5,2014-01-10,13,Actual
2014011014,,596,1,0.98,11,2014-01-10,14,Actual
2014011015,,676,1,0.98,15,2014-01-10,15,Actual
2014011016,,808,1,0.93,56,2014-01-10,16,Actual
2014011017,,814,1,1,2,2014-01-10,17,Actual
2014011018,,792,1,0.99,4,2014-01-10,18,Actual
2014011019,,733,1,0.94,41,2014-01-10,19,Actual
2014011020,,826,1,0.84,121,2014-01-10,20,Actual
2014011021,,760,1,0.85,114,2014-01-10,21,Actual
2014011022,,656,1,0.78,133,2014-01-10,22,Actual
2014011023,,495,1,0.89,50,2014-01-10,23,Actual
2014011100,,283,1,0.98,7,2014-01-11,00,Actual
2014011101,,190,1,0.99,1,2014-01-11,01,Actual
2014011102,,135,1,0.99,1,2014-01-11,02,Actual
2014011103,,72,1,0.81,13,2014-01-11,03,Actual
2014011104,,39,1,1,0,2014-01-11,04,Actual
2014011105,,36,1,0.86,5,2014-01-11,05,Actual
2014011106,,43,1,0.91,4,2014-01-11,06,Actual
2014011107,,111,1,1,0,2014-01-11,07,Actual
2014011108,,229,1,1,0,2014-01-11,08,Actual
2014011109,,380,1,1,0,2014-01-11,09,Actual
2014011110,,516,1,0.99,3,2014-01-11,10,Actual
2014011111,,611,1,0.94,34,2014-01-11,11,Actual
2014011112,,554,1,0.97,15,2014-01-11,12,Actual
2014011113,,591,1,0.93,43,2014-01-11,13,Actual
2014011114,,588,1,0.95,28,2014-01-11,14,Actual
2014011115,,688,1,0.98,10,2014-01-11,15,Actual
2014011116,,765,1,0.99,6,2014-01-11,16,Actual
2014011117,,846,1,1,0,2014-01-11,17,Actual
2014011118,,732,1,0.98,12,2014-01-11,18,Actual
2014011119,,877,1,0.79,180,2014-01-11,19,Actual
2014011120,,794,1,0.82,144,2014-01-11,20,Actual
2014011121,,837,1,0.75,207,2014-01-11,21,Actual
2014011122,,638,1,0.76,146,2014-01-11,22,Actual
2014011123,,388,1,0.93,28,2014-01-11,23,Actual
2014011200,,282,1,0.97,8,2014-01-12,00,Actual
2014011201,,170,1,1,0,2014-01-12,01,Actual
2014011202,,127,1,0.99,1,2014-01-12,02,Actual
2014011203,,77,1,0.96,3,2014-01-12,03,Actual
2014011204,,34,1,1,0,2014-01-12,04,Actual
2014011205,,43,1,0.91,4,2014-01-12,05,Actual
2014011206,,33,1,0.94,2,2014-01-12,06,Actual
2014011207,,86,1,0.99,1,2014-01-12,07,Actual
2014011208,,152,1,1,0,2014-01-12,08,Actual
2014011209,,301,1,1,0,2014-01-12,09,Actual
2014011210,,406,1,0.98,9,2014-01-12,10,Actual
2014011211,,439,1,0.98,7,2014-01-12,11,Actual
2014011212,,428,1,0.91,37,2014-01-12,12,Actual
2014011213,,414,1,0.97,12,2014-01-12,13,Actual
2014011214,,532,1,0.91,48,2014-01-12,14,Actual
2014011215,,542,1,0.99,4,2014-01-12,15,Actual
2014011216,,608,1,0.96,24,2014-01-12,16,Actual
2014011217,,563,1,1,0,2014-01-12,17,Actual
2014011218,,539,1,0.98,11,2014-01-12,18,Actual
2014011219,,599,1,0.86,80,2014-01-12,19,Actual
2014011220,,543,1,0.93,38,2014-01-12,20,Actual
2014011221,,524,1,0.85,73,2014-01-12,21,Actual
2014011222,,372,1,0.89,36,2014-01-12,22,Actual
2014011223,,234,1,1,0,2014-01-12,23,Actual
2014011300,,150,1,1,0,2014-01-13,00,Actual
2014011301,,79,1,1,0,2014-01-13,01,Actual
2014011302,,49,1,1,0,2014-01-13,02,Actual
2014011303,,34,1,1,0,2014-01-13,03,Actual
2014011304,,17,1,1,0,2014-01-13,04,Actual
2014011305,,8,1,1,0,2014-01-13,05,Actual
2014011306,,24,1,0.96,1,2014-01-13,06,Actual
2014011307,,63,1,1,0,2014-01-13,07,Actual
2014011308,,162,1,1,0,2014-01-13,08,Actual
2014011309,,295,1,1,0,2014-01-13,09,Actual
2014011310,,406,1,0.98,9,2014-01-13,10,Actual
2014011311,,488,1,0.87,63,2014-01-13,11,Actual
2014011312,,429,1,0.95,21,2014-01-13,12,Actual
2014011313,,460,1,0.97,13,2014-01-13,13,Actual
2014011314,,509,1,0.97,12,2014-01-13,14,Actual
2014011315,,577,1,0.98,12,2014-01-13,15,Actual
2014011316,,667,1,1,0,2014-01-13,16,Actual
2014011317,,681,1,1,0,2014-01-13,17,Actual
2014011318,,625,1,0.99,6,2014-01-13,18,Actual
2014011319,,609,1,0.94,35,2014-01-13,19,Actual
2014011320,,595,1,0.93,42,2014-01-13,20,Actual
2014011321,,543,1,0.93,35,2014-01-13,21,Actual
2014011322,,425,1,0.98,7,2014-01-13,22,Actual
2014011323,,291,1,1,0,2014-01-13,23,Actual
2014011400,,185,1,1,0,2014-01-14,00,Actual
2014011401,,132,1,1,0,2014-01-14,01,Actual
2014011402,,56,1,0.98,1,2014-01-14,02,Actual
2014011403,,39,1,0.85,6,2014-01-14,03,Actual
2014011404,,27,1,0.96,1,2014-01-14,04,Actual
2014011405,,27,1,0.93,2,2014-01-14,05,Actual
2014011406,,29,1,1,0,2014-01-14,06,Actual
2014011407,,86,1,1,0,2014-01-14,07,Actual
2014011408,,180,1,0.99,0,2014-01-14,08,Actual
2014011409,,384,1,0.99,1,2014-01-14,09,Actual
2014011410,,477,1,0.95,21,2014-01-14,10,Actual
2014011411,,516,1,0.99,7,2014-01-14,11,Actual
2014011412,,503,1,0.99,3,2014-01-14,12,Actual
2014011413,,495,1,0.99,5,2014-01-14,13,Actual
2014011414,,529,1,1,1,2014-01-14,14,Actual
2014011415,,557,1,1,1,2014-01-14,15,Actual
2014011416,,643,1,1,2,2014-01-14,16,Actual
2014011417,,714,1,1,1,2014-01-14,17,Actual
2014011418,,693,1,0.99,7,2014-01-14,18,Actual
2014011419,,720,1,0.94,40,2014-01-14,19,Actual
2014011420,,776,1,0.76,181,2014-01-14,20,Actual
2014011421,,591,1,0.9,61,2014-01-14,21,Actual
2014011422,,503,1,0.89,54,2014-01-14,22,Actual
2014011423,,302,1,0.97,8,2014-01-14,23,Actual
2014011500,,208,1,1,0,2014-01-15,00,Actual
2014011501,,115,1,1,0,2014-01-15,01,Actual
2014011502,,71,1,0.96,3,2014-01-15,02,Actual
2014011503,,44,1,0.89,5,2014-01-15,03,Actual
2014011504,,26,1,1,0,2014-01-15,04,Actual
2014011505,,23,1,0.96,1,2014-01-15,05,Actual
2014011506,,27,1,1,0,2014-01-15,06,Actual
2014011507,,63,1,1,0,2014-01-15,07,Actual
2014011508,,197,1,1,0,2014-01-15,08,Actual
2014011509,,362,1,1,0,2014-01-15,09,Actual
2014011510,,450,1,0.96,17,2014-01-15,10,Actual
2014011511,,509,1,0.97,15,2014-01-15,11,Actual
2014011512,,491,1,0.95,22,2014-01-15,12,Actual
2014011513,,542,1,0.96,19,2014-01-15,13,Actual
2014011514,,544,1,1,0,2014-01-15,14,Actual
2014011515,,602,1,1,1,2014-01-15,15,Actual
2014011516,,661,1,1,1,2014-01-15,16,Actual
2014011517,,741,1,0.99,10,2014-01-15,17,Actual
2014011518,,774,1,0.95,35,2014-01-15,18,Actual
2014011519,,655,1,0.95,33,2014-01-15,19,Actual
2014011520,,700,1,0.87,90,2014-01-15,20,Actual
2014011521,,638,1,0.82,108,2014-01-15,21,Actual
2014011522,,595,1,0.86,85,2014-01-15,22,Actual
2014011523,,372,1,0.95,17,2014-01-15,23,Actual
2014011600,,250,1,1,1,2014-01-16,00,Actual
2014011601,,179,1,0.93,11,2014-01-16,01,Actual
2014011602,,107,1,0.97,3,2014-01-16,02,Actual
2014011603,,42,1,0.98,1,2014-01-16,03,Actual
2014011604,,40,1,0.9,4,2014-01-16,04,Actual
2014011605,,18,1,1,0,2014-01-16,05,Actual
2014011606,,35,1,1,0,2014-01-16,06,Actual
2014011607,,71,1,1,0,2014-01-16,07,Actual
2014011608,,226,1,1,0,2014-01-16,08,Actual
2014011609,,368,1,0.99,4,2014-01-16,09,Actual
2014011610,,481,1,0.98,10,2014-01-16,10,Actual
2014011611,,547,1,0.95,27,2014-01-16,11,Actual
2014011612,,471,1,1,0,2014-01-16,12,Actual
2014011613,,565,1,0.96,20,2014-01-16,13,Actual
2014011614,,611,1,1,2,2014-01-16,14,Actual
2014011615,,636,1,1,0,2014-01-16,15,Actual
2014011616,,672,1,1,0,2014-01-16,16,Actual
2014011617,,813,1,1,0,2014-01-16,17,Actual
2014011618,,795,1,0.99,6,2014-01-16,18,Actual
2014011619,,698,1,1,0,2014-01-16,19,Actual
2014011620,,727,1,1,2,2014-01-16,20,Actual
2014011621,,729,1,0.99,7,2014-01-16,21,Actual
2014011622,,601,1,1,2,2014-01-16,22,Actual
2014011623,,397,1,1,0,2014-01-16,23,Actual
2014011700,,248,1,0.96,10,2014-01-17,00,Actual
2014011701,,153,1,0.99,1,2014-01-17,01,Actual
2014011702,,91,1,1,0,2014-01-17,02,Actual
2014011703,,51,1,0.92,4,2014-01-17,03,Actual
2014011704,,30,1,0.9,2,2014-01-17,04,Actual
2014011705,,31,1,1,0,2014-01-17,05,Actual
2014011706,,32,1,0.97,1,2014-01-17,06,Actual
2014011707,,77,1,1,0,2014-01-17,07,Actual
2014011708,,212,1,1,0,2014-01-17,08,Actual
2014011709,,399,1,0.99,1,2014-01-17,09,Actual
2014011710,,482,1,0.99,3,2014-01-17,10,Actual
2014011711,,554,1,0.94,30,2014-01-17,11,Actual
2014011712,,562,1,0.97,17,2014-01-17,12,Actual
